bonus_attribute_id,description,categories
1,A Trippy Adventure,Overall
2,Aftertaste just keeps giving,Follow
3,All this and more!,Overall
4,Balanced like a trapeze artist,Overall
5,Barrelled to Perfection!,Flavour
6,Beautiful colour,Appearance
7,Beer illusion,Overall
8,Beergasmic,Overall
9,Benchmark for the style,Overall
10,Better than expected for style,Overall
11,Bulbous head,Appearance
12,Burpalicious,Burp
13,Could sit on it all night,Overall
14,"Dank, Dank Baby",Aroma;Flavour
15,Delicate in a good way,Mouthfeel
16,De-lush-ous,Mouthfeel
17,Dessert in a can.,Flavour
18,Did everything right,Overall
19,Didn't see that one coming!,Overall
20,Does it have to end?,Follow
21,Even Dad could smell that one.,Aroma
22,First Impact - 3,Overall
23,"FMTG (F*CK Me, That's Good.)",Overall
24,"Fruit Salad, Yummy Tummy ???",Flavour
25,Goes down way too easily!,Follow
26,Gotta love them plums!,Flavour
27,Great Mouth Feel,Mouthfeel
28,"Hops, hops, baby!",Aroma;Flavour
29,I cried a bit,Overall
30,"If this was a piece of music, it would be beautiful.",Overall
31,Incongruous,Overall
32,Is what it says it is,Overall
33,It had the naked man factor,Overall
34,It has the X-Factor,Overall
35,It is what it says it is,Overall
36,It keeps on going!,Follow
37,It touches me in places I have never been touched.,Overall
38,It's a Concept...,Design
39,"It's not just a beer, it's an experience",Overall
40,Just enjoyable,Overall
41,Just nice!,Overall
42,Keep them coming.,Overall
43,La La La!!!,Overall
44,Layers,Flavour;Follow
45,Like a well aged 2000,Flavour
46,Liquid Burp,Burp
47,Liquid Gold,Overall
48,"Mmmm, hazelnuts",Aroma;Flavour
49,Mouth Watering,Mouthfeel
50,"No, but it really is what it says it is!",Overall
51,Out of This World,Overall
52,Piney for you,Aroma;Flavour
53,Pleasuresum,Overall
54,Scrape your brain,Flavour;Follow
55,Scrape your brain (aroma),Aroma
56,Slap you in the face with bag of wet hops,Aroma;Flavour
57,Smell that Funk,Aroma
58,Smoooooth,Mouthfeel
59,Soooo Resinous,Aroma;Flavour
60,Spectacular Aroma,Aroma
61,SSD (Smooth Sweet and Delicious!),Mouthfeel;Flavour
62,SSD Baby (Smooth Sweet and Delicious!),Mouthfeel;Flavour
63,Stunning pour,Appearance
64,Surprisingly delightful,Overall
65,"Thank you, hops!",Aroma;Flavour
66,That is just ridiculously easy to drink!,Follow
67,That went 'oooohhhh'.,Overall
68,The Burp!,Burp
69,The Journey was Amazing,Follow
70,The perfect dessert!,Flavour
71,The Sum is Greater than its parts.,Overall
72,"The warmer it got, the better it got!",Follow
73,This is a 6.49,Overall
74,This one goes to 11!,Overall
75,This one goes to 11.1!,Overall
76,Tight head,Appearance
77,Undulating,Follow
78,Unique,Overall
79,Very yum ... drink!,Flavour
80,Want grapefruit with that?,Aroma;Flavour
81,What I was hoping for and more!,Overall
82,You can feel that Aroma.,Aroma
